sample_id,path,experiment,condition,batch,best_pK
ALL_7dpi_2,data/ALL_7dpi_2,ALL,7dpi,2,0.01
ALL_1dpi_3,data/ALL_1dpi_3,ALL,1dpi,1,0.18
